"What is the make, model, and year of your vehicle",How old are you,Which smartphone OS do you primarily use,How often do you use phone mirroring in the car,Which infotainment setup does your car have,Which screen layout does your car have,Why do you prefer your current infotainment setup,Which map provider do you prefer while driving,Why do you prefer the above selected map provider,Which music/media platforms do you use most,Do you use an in-car app store Apps provided by Auto OEM,Which in-car apps do you use the most at present,Boot-up time,Interface & responsiveness,Bluetooth pairing,Wired / wireless mirroring connection,Voice recognition,Navigation search & accuracy,Notification overload,SIM connectivity,Screen glare / sunlight visibility,Feature inconsistency between car and app,"For most in-car digital tasks, do you prefer built-in apps or smartphone mirroring",Which of these features do you expect as a standard offering in your next car,Do you actively use the OEM companion app to interact with your vehicle remotely,How do you usually respond when a connected vehicle feature fails while driving,"Based on the UI designs shown below, which connected car app experience would you prefer using daily",What could be the main reasons of not using the OEM mobile app more often,How comfortable are you with over-the-air vehicle software updates,What is your preferred frequency for vehicle OTA (Over-the-Air) updates,AI assistant with contextual / predictive awareness,Smart home integration (control home devices from car),Seamless phone-to-car handoff (continue exactly where you left off),AR navigation / Heads-Up Display (HUD),Rear-seat passenger entertainment,Full multilingual / regional language interface,Does the quality of infotainment and connected features influence your car purchase decision,Which pricing model feels most acceptable for connected car features,"Basic connected pack OTA updates, Wi-Fi hotspot, live vehicle diagnostics","Safety & security pack Emergency SOS, stolen vehicle tracking, geo-fence & speed alerts","Navigation & maps pack Real-time traffic updates, offline maps, EV charging station routing","Remote convenience pack Remote climate control, lock/unlock, remote engine start, vehicle locator","Premium digital pack  AI assistant, smart home, AR HUD","Basic connected pack  OTA updates, Wi-Fi hotspot, live vehicle diagnostics","Safety & security pack  Emergency SOS, stolen vehicle tracking, geo-fence & speed alerts","Navigation & maps pack Real-time traffic updates, offline maps, EV charging station routing2","Remote convenience pack  Remote climate control, lock/unlock, remote engine start, vehicle locator","Premium digital pack  AI assistant, smart home, AR HUD2",What would increase your trust in connected vehicle services the most_Better feature usefulness and value,What would increase your trust in connected vehicle services the most_Clear consent and data transparency,What would increase your trust in connected vehicle services the most_Easy data deletion and account control options,What would increase your trust in connected vehicle services the most_Feature not available,What would increase your trust in connected vehicle services the most_I don't trust,What would increase your trust in connected vehicle services the most_Independent security certifications,What would increase your trust in connected vehicle services the most_Strong brand reputation,What would increase your trust in connected vehicle services the most_Strong privacy controls,What would increase your trust in connected vehicle services the most_Transparent pricing and subscription policies,Which features are missing from your current car that you actively wish you had_AR / HUD navigation,Which features are missing from your current car that you actively wish you had_Auto parking,Which features are missing from your current car that you actively wish you had_Better offline maps,Which features are missing from your current car that you actively wish you had_Better regional language support,Which features are missing from your current car that you actively wish you had_Digital key,Which features are missing from your current car that you actively wish you had_EV charging navigation,Which features are missing from your current car that you actively wish you had_Faster / smoother voice assistant,Which features are missing from your current car that you actively wish you had_In-car payments,Which features are missing from your current car that you actively wish you had_Multi-user profiles,Which features are missing from your current car that you actively wish you had_Phone-to-car seamless handoff,Which features are missing from your current car that you actively wish you had_Rear-seat screens,Which features are missing from your current car that you actively wish you had_Remote AC / lock via app,Which features are missing from your current car that you actively wish you had_Smart home integration,Which features are missing from your current car that you actively wish you had_Wireless Android Auto / CarPlay,Which interaction methods do you prefer the most while using your infotainment system_Gesture,Which interaction methods do you prefer the most while using your infotainment system_Physical controls,Which interaction methods do you prefer the most while using your infotainment system_Touch,Which interaction methods do you prefer the most while using your infotainment system_Voice
"Kia Seltos, 2025",21 - 25,Android ,Very often,Native OEM(OS) + Android Auto,Dual screen,Reliability & Speed;Better music / media;,Google Maps,Accuracy & Local roads coverage;User Interface;,YouTube Music;,Never,Navigation apps;Music apps;Messaging apps;EV charging apps;Browser / Internet;,2,3,2,3,3,2,2,2,2,2,Built-in apps,Wireless mirroring (AA / CarPlay);Remote vehicle controls via app;Digital key;,Not installed ,Retry the feature,Kia Connect;,Poor performance ;,Neutral,Quarterly,5,4,5,5,5,3,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0
KIA CARENS 2026,41-50,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Full cockpit display system,Voice Support;Reliability & Speed;Variety of Apps;Better maps;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;Speed limit & Toll Info;POI search;,Spotify;FM / radio;,Very Often,Navigation apps;Music apps;Browser / Internet;Messaging apps;Parking apps;,5,5,5,5,5,5,5,5,5,5,Both,Wireless mirroring (AA / CarPlay);,"Yes, occasionally ",Use physical controls,Kia Connect;,Not enough useful features ;,Very comfortable,Monthly,5,5,5,5,5,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,,,,,,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,1
Tata Punch/ Nexon : 2023/2024,31 - 35,Android ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Reliability & Speed;Better maps;Better music / media;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;EV charging Stations;Offline use;,YouTube Music;FM / radio;,Never,Navigation apps;Music apps;Messaging apps;None;News apps;,5,3,5,3,2,2,2,2,3,2,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Navigation (Maps);SOS / emergency services;Vehicle health monitoring;,Not installed ,Switch to my phone,Me4U: Mahindra eSUV for You;,Poor performance ;Not enough useful features ;,Comfortable,Only when needed,3,1,1,1,4,4,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹3,000-₹5,000",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Baleno 2021(Alpha),26 - 30,Android ,Very often,Native OEM operating system(OS) only,Single screen,UI/UX;,MapmyIndia,Accuracy & Local roads coverage;Live Traffic data;Speed limit & Toll Info;,Spotify;FM / radio;,Never,Weather apps;Navigation apps;Music apps;News apps;None;,3,3,3,3,2,3,4,1,3,1,Smartphone mirroring,"Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;Gesture control, Native jio Hotstar app, Zepto etc;","Yes, occasionally ",Contact customer care,Tesla;,Poor performance ;,Very comfortable,Monthly,5,5,5,5,3,5,No - I focus on other aspects,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",1,1,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,1,1
"Kia Saltos, 2022",31 - 35,Android ,Rarely,Native OEM(OS) + Android Auto,Single screen,UI/UX;Reliability & Speed;Variety of Apps;Voice Support;Better maps;Better music / media;,Google Maps,POI search;Offline use;Live Traffic data;Accuracy & Local roads coverage;EV charging Stations;Voice Search;,Spotify;,Very Often,Navigation apps;Music apps;Messaging apps;Parking apps;EV charging apps;,5,4,5,4,5,4,5,4,5,4,Built-in apps,Wireless mirroring (AA / CarPlay);OTA software updates;Navigation (Maps);Remote vehicle controls via app;Digital key;Voice assistant;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,"Yes, occasionally ",Switch to my phone,My BMW;Zeekr;Nio ET7;Me4U: Mahindra eSUV for You;,Not enough useful features ;Privacy concerns ;,Very comfortable,Quarterly,3,4,5,3,4,5,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,,,,,,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1
"Volkswagen Tigun, 2024",41-50,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Reliability & Speed;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,Spotify;,Never,Navigation apps;Music apps;Weather apps;Parking apps;EV charging apps;,1,1,1,2,1,2,1,1,1,1,Smartphone mirroring,Digital key;Voice assistant;OTA software updates;Wireless mirroring (AA / CarPlay);Remote vehicle controls via app;Vehicle health monitoring;SOS / emergency services;In-car app store;Navigation (Maps);,Not installed ,Contact customer care,Tata Motors iRA 2.0;Hyundai Bluelink;Nio ET7;Rivian;,NA;,Very comfortable,Quarterly,1,1,5,1,5,5,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,"₹3,000-₹5,000","₹3,000-₹5,000","₹1,000-₹3,000",₹0 - Not willing to pay,₹0 - Not willing to pay,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0
"Tata Curv, 2024",26 - 30,Android ,Rarely,Native OEM(OS) + Android Auto,Single screen,Better music / media;,Google Maps,Accuracy & Local roads coverage;,Amazon Music;,Sometimes,Parking apps;EV charging apps;Weather apps;Browser / Internet;News apps;,2,2,1,1,3,5,3,2,2,3,Both,Vehicle health monitoring;In-car app store;Wireless mirroring (AA / CarPlay);,"Yes, occasionally ",Switch to my phone,Tata Motors iRA 2.0;Me4U: Mahindra eSUV for You;,Poor performance ;login issues;Irrelevant notifications ;,Uncomfortable,Quarterly,5,3,5,5,2,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,,,,,,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,1,0,0,0,1
Nissan Magnite 2024,26 - 30,Android ,Very often,Only Phone mirroring via Android Auto / Apple Car Play,Triple screen,Better maps;Better music / media;Voice Support;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,Amazon Music;,Never,Navigation apps;Music apps;Weather apps;None;OTHER;,4,4,4,4,3,4,3,1,5,1,Smartphone mirroring,OTA software updates;Navigation (Maps);Voice assistant;Remote vehicle controls via app;Vehicle health monitoring;SOS / emergency services;,Not installed ,Retry the feature,Tata Motors iRA 2.0;,Not enough useful features ;Poor performance ;login issues;Privacy concerns ;,Comfortable,I do not want OTA updates,1,1,5,1,1,1,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0
KIA SONET-2023,36-40,iOS ,Sometimes,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Variety of Apps;Better music / media;Better maps;,Google Maps,Live Traffic data;Accuracy & Local roads coverage;,Spotify;,Never,Navigation apps;Messaging apps;Music apps;Parking apps;News apps;,4,4,4,5,4,5,4,4,4,4,Smartphone mirroring,Wireless mirroring (AA / CarPlay);EV charging integration;Vehicle health monitoring;OTA software updates;,Not installed ,Stop using it for the trip,Kia Connect;,NA;,Comfortable,Quarterly,5,5,5,5,5,5,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0
KIA Seltos 2024,36-40,Android ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Dual screen,UI/UX;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,Spotify;,Never,None;Navigation apps;Music apps;Parking apps;EV charging apps;,3,3,4,3,4,3,3,3,5,5,Both,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Vehicle health monitoring;EV charging integration;,"Yes, regularly ",Use physical controls,Kia Connect;,login issues;Not enough useful features ;,Very comfortable,Quarterly,5,5,5,5,5,5,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000","₹3,000-₹5,000",0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,0,0,1,1
"Tata Nexon, 2023",31 - 35,Android ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,No happy with current infortainment;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;Offline use;,YouTube Music;Gaana;,Never,None;Music apps;Navigation apps;Messaging apps;Weather apps;,3,3,4,2,2,4,4,1,5,2,Both,OTA software updates;Voice assistant;Navigation (Maps);EV charging integration;In-car app store;Wireless mirroring (AA / CarPlay);,Not installed ,Restart the infotainment system,Kia Connect;Hyundai Bluelink;MyGenesis;Tesla;,Poor performance ;Not enough useful features ;,Very comfortable,Quarterly,5,4,5,5,3,4,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1
"Tata Nexon, 2019",41-50,iOS ,Never,Native OEM(OS) + Android Auto,Dual screen,UI/UX;Voice Support;Better maps;Better music / media;,Google Maps,Live Traffic data;User Interface;,JioSaavn;FM / radio;Spotify;,Sometimes,Navigation apps;Music apps;Parking apps;Weather apps;EV charging apps;,3,3,2,3,2,2,2,2,2,2,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Vehicle health monitoring;EV charging integration;In-car app store;,"Yes, occasionally ",Restart the infotainment system,Tesla;,Not enough useful features ;I did not know the app had those features ;,Comfortable,Half-yearly,5,3,4,4,5,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,₹10k-15k,₹15k-20k,,,,,,1,1,0,0,0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
"Tata Punch, 2023",31 - 35,iOS ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Better maps;Better music / media;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;,Spotify;,Sometimes,Music apps;Navigation apps;Weather apps;Parking apps;Payments;,4,4,5,5,3,3,2,4,5,4,Built-in apps,Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;Wireless mirroring (AA / CarPlay);,"Yes, occasionally ",Retry the feature,Me4U: Mahindra eSUV for You;Tesla;,Poor performance ;,Comfortable,Quarterly,5,4,5,4,4,4,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,,,,,,1,1,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,1
"Hyundai i20, 2015",41-50,Android ,Never,Native OEM operating system(OS) only,Single screen,Better music / media;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;,Spotify;FM / radio;,Never,None;Navigation apps;Music apps;EV charging apps;Browser / Internet;,5,5,5,5,4,5,4,4,4,5,Smartphone mirroring,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);OTA software updates;Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,Not installed ,Ask my passenger to handle it,Me4U: Mahindra eSUV for You;,Poor performance ;,Neutral,Monthly,5,5,5,5,3,5,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,1,0,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,1,0
Creta 2017,36-40,Android ,Never,Native OEM operating system(OS) only,Single screen,Better music / media;,I do not use navigation regularly,Offline use;,FM / radio;,Never,None;Parking apps;EV charging apps;Browser / Internet;Navigation apps;,5,5,5,5,5,5,5,5,5,5,Built-in apps,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,Not installed ,Switch to my phone,My BMW;,Not enough useful features ;,Neutral,Quarterly,5,5,5,5,5,5,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,0,1,0
TATA Punch 2022,26 - 30,iOS ,Sometimes,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Better music / media;Voice Support;Reliability & Speed;,Apple Maps,Accuracy & Local roads coverage;Offline use;Live Traffic data;,Spotify;,Never,None;Navigation apps;Music apps;Messaging apps;News apps;,4,3,4,3,4,4,4,4,5,5,Both,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);Vehicle health monitoring;Digital key;,"Yes, occasionally ",Use physical controls,My BMW;Kia Connect;Tata Motors iRA 2.0;Tesla;Me4U: Mahindra eSUV for You;,I did not know the app had those features ;,Neutral,Half-yearly,5,5,5,4,4,4,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
"Kia sonet,2024",31 - 35,Android ,Very often,Native OEM operating system(OS) only,Single screen,Voice Support;Better maps;Reliability & Speed;Better music / media;,Google Maps,Live Traffic data;Voice Search;User Interface;,Spotify;JioSaavn;,Never,Navigation apps;Music apps;Messaging apps;Browser / Internet;Weather apps;,3,4,4,2,2,2,1,1,1,1,Both,Wireless mirroring (AA / CarPlay);Voice assistant;Navigation (Maps);Digital key;Vehicle health monitoring;In-car app store;,Not installed ,Switch to my phone,Kia Connect;,Not enough useful features ;,Very comfortable,Monthly,4,2,5,2,3,5,Somewhat - it matters but isn't the main driver,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000",₹0 - Not willing to pay,₹0 - Not willing to pay,"₹1,000-₹3,000","₹1,000-₹3,000",0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1
tata harrier ev 2026,51+,Android ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Reliability & Speed;Variety of Apps;Voice Support;Better maps;Better music / media;UI/UX;,MapmyIndia,Accuracy & Local roads coverage;,Spotify;,Sometimes,Music apps;Parking apps;Navigation apps;EV charging apps;Messaging apps;,1,1,1,1,1,1,1,1,1,1,Both,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,"Yes, regularly ",Restart the infotainment system,Tata Motors iRA 2.0;Kia Connect;Tesla;,I did not know the app had those features ;,Very comfortable,Only when needed,5,5,5,5,5,5,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,,,,,,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1
"Vento Diesel AT, 2016",41-50,iOS ,Never,Android Automotive (built -in Google),Single screen,Better music / media;,Google Maps,Live Traffic data;Accuracy & Local roads coverage;Speed limit & Toll Info;,Spotify;YouTube Music;,Sometimes,Navigation apps;Music apps;Weather apps;Parking apps;Browser / Internet;,4,3,2,4,4,2,4,4,4,4,Built-in apps,Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;EV charging integration;SOS / emergency services;Wireless mirroring (AA / CarPlay);Vehicle health monitoring;OTA software updates;,Not installed ,Contact customer care,Hyundai Bluelink;,Not enough useful features ;,Neutral,Quarterly,3,3,4,3,3,4,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,₹10k-15k,₹15k-20k,,,,,,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
"EXV 9E, 2025",26 - 30,Android ,Sometimes,Android Automotive (built -in Google),Triple screen,UI/UX;Reliability & Speed;Variety of Apps;Voice Support;Better music / media;it supports BYOD and has OTA;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;Offline use;POI search;EV charging Stations;Voice Search;Speed limit & Toll Info;better UX;,Spotify;YouTube Music;Amazon Music;,Sometimes,Navigation apps;Music apps;Weather apps;Parking apps;EV charging apps;,1,1,3,1,1,1,2,2,1,1,Both,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,"Yes, regularly ",Stop using it for the trip,Tesla;Me4U: Mahindra eSUV for You;Rivian;,login issues;,Very comfortable,Half-yearly,5,1,5,5,1,3,Somewhat - it matters but isn't the main driver,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,1,1,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1
"Tata Nexon,2022",51+,Both equally ,Never,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,Voice Support;,Google Maps,Speed limit & Toll Info;,FM / radio;,Never,Navigation apps;Weather apps;Parking apps;EV charging apps;Browser / Internet;,3,3,4,4,3,3,4,3,3,3,Smartphone mirroring,In-car app store;,Not installed ,Feature not available,My BMW;Tata Motors iRA 2.0;,I did not know the app had those features ;,Comfortable,I do not want OTA updates,5,5,5,5,5,5,Yes - it's a primary factor,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,,,,,,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0
"Nissan Magnite, 2022",31 - 35,Android ,Very often,Native OEM(OS) + Android Auto,Single screen,Better music / media;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;Speed limit & Toll Info;,Spotify;JioSaavn;,Never,Navigation apps;Music apps;News apps;Messaging apps;Weather apps;,4,4,5,5,4,5,3,3,2,5,Both,Voice assistant;Remote vehicle controls via app;Digital key;Vehicle health monitoring;EV charging integration;Navigation (Maps);Wireless mirroring (AA / CarPlay);SOS / emergency services;,Not installed ,Restart the infotainment system,Hyundai Bluelink;Tata Motors iRA 2.0;Zeekr;Nio ET7;,login issues;I did not know the app had those features ;,Comfortable,Yearly,5,5,5,5,5,5,No - I focus on other aspects,One-time upfront lifetime unlock,₹0 - Not willing to pay,₹10k-15k,₹10k-15k,₹0 - Not willing to pay,₹15k-20k,,,,,,1,1,1,0,0,1,1,1,1,0,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0
"VW Taigun ,2023",41-50,Android ,Very often,Android Automotive (built -in Google),Single screen,Reliability & Speed;,Google Maps,Accuracy & Local roads coverage;,Spotify;,Very Often,None;Navigation apps;Music apps;Messaging apps;News apps;,5,5,5,5,5,5,5,5,5,5,Both,Voice assistant;,"Yes, occasionally ",Switch to my phone,Tata Motors iRA 2.0;,Not enough useful features ;,Very comfortable,Monthly,5,5,4,5,4,5,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,₹0 - Not willing to pay,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Suzuki & Honda,36-40,Both equally ,Very often,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,UI/UX;Variety of Apps;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;,Apple Music;,Sometimes,Music apps;Weather apps;NA;None;Navigation apps;,5,5,5,5,5,5,5,5,5,5,Both,Multi-user profiles;,"Yes, regularly ",Switch to my phone,My BMW;,Poor performance ;login issues;Privacy concerns ;Not enough useful features ;,Very comfortable,Only when needed,5,5,5,5,5,5,No - I focus on other aspects,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
BE6,26 - 30,Android ,Sometimes,Native OEM operating system(OS) only,Single screen,UI/UX;,MapmyIndia,Accuracy & Local roads coverage;,YouTube Music;,Sometimes,Music apps;Navigation apps;Messaging apps;Parking apps;EV charging apps;,4,3,4,2,3,3,3,3,3,3,Smartphone mirroring,Wireless mirroring (AA / CarPlay);,"Yes, occasionally ",Switch to my phone,Kia Connect;Tesla;,Poor performance ;,Comfortable,Quarterly,4,5,5,5,3,5,Yes - it's a primary factor,"Complementary initially, then annual subscription",,,,,,"₹1,000-₹3,000","₹3,000-₹5,000","₹1,000-₹3,000","₹1,000-₹3,000","₹1,000-₹3,000",0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0
"Hyundai Creta, 2025",26 - 30,iOS ,Rarely,Native OEM(OS) + Android Auto & Apple CarPlay,Single screen,UI/UX;Reliability & Speed;Better music / media;Variety of Apps;,Google Maps,Accuracy & Local roads coverage;Live Traffic data;User Interface;,FM / radio;,Never,None;Navigation apps;Music apps;Messaging apps;News apps;,4,4,4,4,5,5,5,5,4,4,Smartphone mirroring,Wireless mirroring (AA / CarPlay);OTA software updates;Voice assistant;Navigation (Maps);Remote vehicle controls via app;Digital key;Multi-user profiles;Vehicle health monitoring;EV charging integration;SOS / emergency services;In-car app store;,"Yes, regularly ",Use physical controls,Hyundai Bluelink;,Poor performance ;,Comfortable,Quarterly,4,4,4,4,4,4,Yes - it's a primary factor,One-time upfront lifetime unlock,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,₹10k-15k,,,,,,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
